Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Jamaica Bay,6,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,0.968,0,2072.2000000476837,p,K,4004.4000000953674,7573.600000143051,,HRV,HRV_0323,2022-12-01 01:01:07
coca-cola,6,Which famous soft drink was invented in 1892?,425,1.072,1,7573.700000047684,p,K,1804.7999999523163,10966.600000143051,,HRV,HRV_0323,2022-12-01 01:01:07
Kayak,3,An umiak is a larger version of what? ,20,1.066,2,10966.600000143051,p,K,1512.0,14064.799999952316,,HRV,HRV_0323,2022-12-01 01:01:07
potein,2,"What nutrient comes from meat, eggs, and fish?",433,0.699,3,14064.900000095367,p,K,1529.5,16821.200000047684,,HRV,HRV_0323,2022-12-01 01:01:07
A sneeze,4,The air expelled from what can travel at 100 mph?,90,1.75,4,16821.200000047684,p,K,1583.2000000476837,20830.10000014305,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 18938.400000095367, 'date time': 1669855884631}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 18941.60000014305, 'date time': 1669855884634}]",HRV,HRV_0323,2022-12-01 01:01:07
The La Brea tar pits ,6,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,1.942,5,20830.10000014305,p,K,1556.5999999046326,24832.400000095367,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 21718.299999952316, 'date time': 1669855887411}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 21720.200000047684, 'date time': 1669855887413}]",HRV,HRV_0323,2022-12-01 01:01:07
Orville Wright,7,Who was flying the plane in which the first US airplane fatality occurred? ,377,1.884,6,24832.5,p,K,1613.9000000953674,28855.700000047684,,HRV,HRV_0323,2022-12-01 01:01:07
It's stamped on the coin's edge.,4,"What is unusual about the ""in God We Trust"" Motto on the U.S. Mint's recent presidential dollar coins?",215,0.704,7,28855.700000047684,p,K,1530.9000000953674,32838.10000014305,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 30787.700000047684, 'date time': 1669855896480}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 30791.10000014305, 'date time': 1669855896484}]",HRV,HRV_0323,2022-12-01 01:01:07
Choking on food,7,"Each year, approximately 125 people die of what? ",417,0.682,8,32838.10000014305,p,K,2156.399999856949,36831.700000047684,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 33694.90000009537, 'date time': 1669855899388}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 33696.799999952316, 'date time': 1669855899389}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 36046.299999952316, 'date time': 1669855901739}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 36049.799999952316, 'date time': 1669855901742}]",HRV,HRV_0323,2022-12-01 01:01:07
Ozone,2,"What molecule is named for the Greek word for ""smell,"" because of the odor associated with lightning storms?",232,1.771,9,36831.700000047684,p,K,2440.7999999523163,41568.5,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 38619.299999952316, 'date time': 1669855904312}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 38621.5, 'date time': 1669855904314}]",HRV,HRV_0323,2022-12-01 01:01:07
