Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
The barrel of a gun,2,"According to Chairman Mao, ""political power grows out of"" what?",11,0.509,0,3236.600000023842,p,K,2866.2999999523163,7129.0,,HRV,HRV_0079,2022-11-30 17:46:48
Chuck E. Cheese's,2,What restaurant chain was the brainchild of Atari founder Nolan Bushnell? ,251,1.964,1,7130.699999928474,p,K,1812.9000000953674,11428.5,,HRV,HRV_0079,2022-11-30 17:46:48
"A peanut is a legume, not a nut",2,What type of food is a peanut?,447,1.764,2,11429.199999928474,p,K,2356.2000000476837,16069.199999928474,,HRV,HRV_0079,2022-11-30 17:46:48
chickpeas,4,What is used to make hummus?,424,1.659,3,16069.5,p,K,1803.1999999284744,20055.399999976158,,HRV,HRV_0079,2022-11-30 17:46:48
Gone with the Wind,7,The first swear word on the big screen was in what movie?,100,1.785,4,20055.699999928474,q,S,2148.3000000715256,24510.699999928474,,HRV,HRV_0079,2022-11-30 17:46:48
Tim McGraw,1,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ",24,0.879,5,24511.299999952316,p,K,3012.2000000476837,28936.699999928474,,HRV,HRV_0079,2022-11-30 17:46:48
Japan ,6,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,1.094,6,28937.0,q,S,1563.8999999761581,32115.399999976158,,HRV,HRV_0079,2022-11-30 17:46:48
Apple sauce,2,What was the first food eaten in space?,435,1.161,7,32115.5,p,K,1805.0,35602.199999928474,,HRV,HRV_0079,2022-11-30 17:46:48
Pinko,3,What five-letter word did Time magazine coin in 1926 to refer to left-leaners? ,177,0.514,8,35602.299999952316,q,S,2298.7000000476837,38949.10000002384,,HRV,HRV_0079,2022-11-30 17:46:48
Rabbit,2,What kind of animal attacked Jimmy Carter during an April 1979 fishing trip?   ,221,0.983,9,38949.299999952316,p,K,3728.0,44171.199999928474,,HRV,HRV_0079,2022-11-30 17:46:48
Monrovia,4,What African capital city is named after a U.S. president? ,128,1.253,10,44171.39999997616,q,S,4777.899999976158,50734.60000002384,,HRV,HRV_0079,2022-11-30 17:46:48
The Ritz (Hotel),1,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?",39,1.85,11,50734.799999952316,p,K,2290.8000000715256,55391.89999997616,,HRV,HRV_0079,2022-11-30 17:46:48
There was a pound of every ingredient in the original reciipe. ,7,How did the pound cake get its name?,460,1.543,12,55391.89999997616,p,K,2996.7999999523163,60467.5,,HRV,HRV_0079,2022-11-30 17:46:48
Hong Kong ,5,What city's harbor is overlooked by Victoria Peak? ,185,1.941,13,60467.699999928474,p,K,2280.100000023842,65218.5,,HRV,HRV_0079,2022-11-30 17:46:48
Espresso,2,The Italian government regulates the price of what beverage?,399,1.038,14,65219.39999997616,q,S,1510.6000000238419,68300.0,,HRV,HRV_0079,2022-11-30 17:46:48
Choking on food,4,"Each year, approximately 125 people die of what? ",417,1.842,15,68300.29999995232,p,K,2606.600000023842,73276.10000002384,,HRV,HRV_0079,2022-11-30 17:46:48
James Buchanan ,7,Who was the only U.S. president never to be married?,383,1.713,16,73276.19999992847,,,,82798.69999992847,,HRV,HRV_0079,2022-11-30 17:46:48
The budgerigar,1,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.01,17,82798.69999992847,,,,92346.5,,HRV,HRV_0079,2022-11-30 17:46:48
Dragees,3,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.617,18,92346.5,,,,101876.60000002384,,HRV,HRV_0079,2022-11-30 17:46:48
Model train set,7,HO scale is the world's most popular size of what?,45,1.302,19,101876.69999992847,q,S,5257.300000071526,108958.79999995232,,HRV,HRV_0079,2022-11-30 17:46:48
Jim Lovell,1,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,18,1.205,20,108959.19999992847,p,K,3108.600000023842,113801.79999995232,,HRV,HRV_0079,2022-11-30 17:46:48
A castrated rooster,7,What is a capon?  ,193,1.221,21,113802.29999995232,q,S,4112.899999976158,119663.29999995232,,HRV,HRV_0079,2022-11-30 17:46:48
The Big Bang,6,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",22,0.802,22,119663.29999995232,p,K,3484.600000023842,124467.60000002384,,HRV,HRV_0079,2022-11-30 17:46:48
The popsicle,7,Which popular treat was invented by an 11-year-old in California? ,413,1.153,23,124467.60000002384,p,K,1632.8999999761581,127785.39999997616,,HRV,HRV_0079,2022-11-30 17:46:48
Carbon,4,What element must be burned out of pig iron to make steel? ,170,1.14,24,127785.39999997616,p,K,2988.5,132437.5,,HRV,HRV_0079,2022-11-30 17:46:48
Pen(n)sylvania ,6,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,1.258,25,132437.5,p,K,3475.0,137691.69999992847,,HRV,HRV_0079,2022-11-30 17:46:48
Giant squid,1,What is the largest creature without a backbone? ,203,1.41,26,137692.0,q,S,2693.899999976158,142334.79999995232,,HRV,HRV_0079,2022-11-30 17:46:48
