Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Mushrooms which have been exposed to light,5,What is the only non-animal natural source of vitamin D?,459,0.588,0,2780.899999976158,12293.699999928474,,,,,,,,HRV,HRV_0263,2022-11-30 19:38:19
honey,5,Which is the only food that can never go off or go bad?,442,1.29,1,12293.699999928474,16356.099999904633,q,S,2249.3000000715256,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Smurfette,3,"Who did Gargamel create using ingredients like crocodile tears, the tip of an adder's tongue and a hard stone for a heart?",364,0.831,2,16356.299999952316,21023.899999976158,q,S,3314.2000000476837,,,,,HRV,HRV_0263,2022-11-30 19:38:19
"the Red Hot Chili Peppers, followed closely by Meatloaf",2,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.994,3,21024.0,27465.5,q,S,3911.5999999046326,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Latex. This is known as the latex-fruit syndrome. ,6,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,0.821,4,27465.5,32567.0,q,S,3756.5,,,,,HRV,HRV_0263,2022-11-30 19:38:19
China,2,Which country first used the decimal system?  ,338,1.267,5,32567.0,37485.699999928474,q,S,3127.5,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Green Eggs and Ham,1,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.543,6,37485.699999928474,43697.5,q,S,4136.200000047684,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Generals,6,Eleven U.S. presidents have been what before being elected?,36,1.746,7,43697.5,49373.59999990463,q,S,3412.5999999046326,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Gilbert Van Camp ,3,What Indianapolis grocer made his name by selling canned pork and beans to U.S. troops during the Civil War?,187,1.405,8,49373.799999952316,56944.799999952316,q,S,5633.0,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Frankie Avalon ,4,"Who had the last number one hit of the 1950s with his song ""Why""? ",367,0.901,9,56944.89999997616,61657.0,q,S,3285.899999976158,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Radioactivity,6,What is measured in becquerels? ,201,1.327,10,61657.0,65988.29999995232,q,S,2461.7999999523163,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Czechoslovakia,5,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,83,0.525,11,65988.39999997616,70881.79999995232,q,S,3833.7999999523163,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Westminster Kennel Club dog show ,4,What is the second oldest continuously held American sporting event?  ,214,0.814,12,70881.79999995232,75927.39999997616,q,S,3702.600000023842,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Rooster,5,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,268,0.603,13,75927.39999997616,80331.19999992847,q,S,3286.5,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Uncle Tom's Cabin ,5,What was the first American novel to sell one million copies? ,281,1.489,14,80331.19999992847,85072.5,q,S,2722.899999976158,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Woodrow Wilson ,6,"Which U.S. president declared the first national ""Mother's Day""?  ",355,1.175,15,85072.59999990463,88747.0,q,S,1981.5,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Twenty-fourth ,3,Which Constitutional Amendment deals with poll taxes? ,335,0.592,16,88747.19999992847,92315.39999997616,q,S,2443.600000023842,,,,,HRV,HRV_0263,2022-11-30 19:38:19
at least 97%,3,How much caffeine needs to be taken out of coffee for it to be described as decaffeinated?,427,0.732,17,92315.39999997616,96831.39999997616,q,S,3258.7999999523163,,,,,HRV,HRV_0263,2022-11-30 19:38:19
chickpeas,7,What is used to make hummus?,424,1.515,18,96831.5,101457.0,p,K,2567.399999976158,,,,,HRV,HRV_0263,2022-11-30 19:38:19
American Pie,4,What was the name of the plane Buddy Holly died in?  ,289,0.722,19,101457.09999990463,105959.5,q,S,3245.9000000953674,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Near Alaska,2,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,0.858,20,105959.5,111446.89999997616,q,S,4096.299999952316,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Jim Lovell,4,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,18,1.936,21,111446.89999997616,117936.69999992847,q,S,4031.2999999523163,,,,,HRV,HRV_0263,2022-11-30 19:38:19
8 Mile Road ,1,"What road, which names a 2002 film, divides Wayne County from affluent Oakland and Maycomb Counties?",254,1.303,22,117936.69999992847,125552.19999992847,p,K,5789.899999976158,,,,,HRV,HRV_0263,2022-11-30 19:38:19
a spit,4,"If something is described as rotisserie, what has it been cooked on?",428,0.852,23,125552.19999992847,132858.0,p,K,5910.600000023842,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Sic semper tyrannis ,1,What state motto of Virginia did John Wilkes Booth shout as he jumped from Lincoln's box to the stage of Ford's Theatre? ,262,0.755,24,132858.0,137953.59999990463,p,K,3806.0,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Pachyderm,6,"What word comes to us from the Greek for ""thick-skinned""?  ",297,1.371,25,137953.69999992847,144123.79999995232,q,S,4277.0,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Arkansas ,6,Where is the only active diamond mine in the U.S.?,320,1.016,26,144123.79999995232,148604.09999990463,q,S,2923.100000023842,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Teeth,7,"One in every 2,000 babies is born with what? ",77,1.894,27,148604.09999990463,153916.39999997616,q,S,2890.0,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Honey,4,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.775,28,153916.39999997616,159519.69999992847,q,S,3307.1999999284744,,,,,HRV,HRV_0263,2022-11-30 19:38:19
The nock,6,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,1.153,29,159519.69999992847,164477.19999992847,q,S,3255.0,,,,,HRV,HRV_0263,2022-11-30 19:38:19
Tim McGraw,2,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ",24,1.032,30,164477.19999992847,181983.69999992847,t,W,6425.200000047684,173440.29999995232,177459.19999992847,,,HRV,HRV_0263,2022-11-30 19:38:19
